place,longitude,lattitude
new_york,-74.0060152,40.7127281
los_angeles,-118.2439408,34.0522342
chicago,-87.6244212,41.8755616
houston,-95.3676974,29.7589382
phoenix,-112.0740373,33.4483771
philadelphia,-75.163789,39.9527237
san_antonio,-98.4936282,29.4246002
san_diego,-117.1610838,32.715738
dallas,-96.7968559,32.7762719
san_jose,-121.8949555,37.3361905
austin,-97.7436995,30.2711286
jacksonville,-81.655651,30.3321838
fort_worth,-97.3307658,32.7554883
columbus,-82.9987942,39.9611755
san_francisco,-122.4194155,37.7749295
charlotte,-80.8431267,35.2270869
indianapolis,-86.158068,39.768403
seattle,-122.3320708,47.6062095
denver,-104.990251,39.7392364
washington,-77.0368707,38.9071923
boston,-71.0588801,42.3600825
nashville,-86.7816016,36.1626638
el_paso,-106.4424559,31.7775757
detroit,-83.0466403,42.331427
memphis,-90.0489801,35.1495343
portland,-122.6764816,45.5230622
oklahoma_city,-97.5164276,35.4675602
las_vegas,-115.1398296,36.1699412
louisville,-85.7584557,38.2526647
baltimore,-76.6121893,39.2903848
milwaukee,-87.9064736,43.0389025
albuquerque,-106.6055534,35.0843859
tucson,-110.926479,32.2217429
sacramento,-121.4943996,38.5815719
atlanta,-84.3879824,33.7489954
kansas_city,-94.5785667,39.0997265
university_michigan,-83.7382241,42.2780436
university_virginia,-78.5055007,38.0368097
university_north_carolina_chapel_hill,-79.0478167,35.9048695
university_california_berkeley,-122.2585399,37.8720954
university_arkansas,-94.1748,36.0687
university_texas_austin,-97.7351414,30.2849185
university_illinois_urbana_champaign,-88.22728,40.1105898
university_california_san_diego,-117.2340138,32.8819179
university_washington,-122.3109624,47.6568772
georgia_institute_technology,-84.3941,33.7756
piedmont_park_ga,-84.372,33.7858
golden_gate_park_ca,-122.477,37.7694
grant_park_il,-87.6197,41.8827
balboa_park_ca,-117.153,32.7344
city_park_co,-104.9489,39.7482
forest_park_mo,-90.3044,38.635
millennium_park_il,-87.6237,41.8827
dolores_park_ca,-122.4269,37.759
central_park_ny,-73.9654,40.7829
discovery_green_tx,-95.3609,29.752
